Plan Name,MRP,LCO Price,BC Price,SD Count,HD Count
ETV CINEMA 30d,15.34,13.81,12.27,1,0
MAA MUSIC 30d,4.72,4.25,3.78,1,0
ETV ABHIRUCHI 30d,3.54,3.19,2.83,1,0
ETV TELANGANA 30d,2.36,2.12,1.89,1,0
ETV PLUS 30d,12.98,11.68,10.38,1,0
MKTV 30d,0,0,0,1,0
STAR VIJAY SUPER 30d,9.44,8.5,7.55,1,0
SHEMAROO MARATHIBANA 30d,0,0,0,1,0
ZEE CLASSIC 30d,0.12,0.11,0.09,1,0
LOKSHAHI 30d,0,0,0,1,0
WOW CINEMA ONE 30d,0,0,0,1,0
CINEMA TV INDIA 30d,0,0,0,1,0
COLORS CINEPLEX SUPERHITS 30d,0.12,0.11,0.09,1,0
B4U BHOJPURI 30d,0,0,0,1,0
COLORS SUPER 30d,3.54,3.19,2.83,1,0
EUROSPORT HD 30d,6.49,5.84,5.19,0,1
JAYA TV 30d,7.08,6.37,5.66,1,0
CBEEBIES 30d,3.54,3.19,2.83,1,0
JINVANI 30d,0,0,0,1,0
ZEE KERALAM HD 30d,11.8,10.62,9.44,0,1
ABP ASMITA 30d,0,0,0,1,0
HARE KRSNA TV 30d,0,0,0,1,0
MAKKAL TV 30d,0,0,0,1,0
IMAYAM 30d,0,0,0,1,0
VASANTH TV 30d,0,0,0,1,0
PEPPERS TV 30d,0,0,0,1,0
KALAIGNAR MURASU 30d,14.16,12.74,11.33,1,0
